Results from the database:
ID: 1, Roll Number: 1, Presence: absent
ID: 2, Roll Number: Roll number 1, Presence: absent
ID: 3, Roll Number: Roll number 1, Presence: absent
ID: 4, Roll Number: Roll number 1, Presence: absent
ID: 5, Roll Number: Roll number 1, Presence: absent
ID: 6, Roll Number: Roll number 2, Presence: absent
ID: 7, Roll Number: Roll number 1, Presence: absent
ID: 8, Roll Number: Roll number 1, Presence: absent
ID: 9, Roll Number: Roll number 2, Presence: absent
ID: 10, Roll Number: Roll number 3, Presence: absent
ID: 11, Roll Number: Roll number 4, Presence: absent
ID: 12, Roll Number: Roll number 1, Presence: absent
ID: 13, Roll Number: Roll number 2, Presence: absent
ID: 14, Roll Number: Roll number 3, Presence: absent
ID: 15, Roll Number: Roll number 1, Presence: absent
ID: 16, Roll Number: Roll number 1, Presence: absent
ID: 17, Roll Number: Roll number 2, Presence: absent
ID: 18, Roll Number: Roll number 3, Presence: absent
ID: 19, Roll Number: Roll number 4, Presence: absent
ID: 20, Roll Number: Roll number 1, Presence: absent
ID: 21, Roll Number: Roll number 2, Presence: absent
ID: 22, Roll Number: Roll number 3, Presence: absent
ID: 23, Roll Number: Roll number 1, Presence: absent
ID: 24, Roll Number: Roll number 2, Presence: absent
ID: 25, Roll Number: Roll number 3, Presence: absent
ID: 26, Roll Number: Roll number 1, Presence: absent
ID: 27, Roll Number: Roll number 1, Presence: absent
ID: 28, Roll Number: Roll number 2, Presence: absent
ID: 29, Roll Number: Roll number 3, Presence: absent
ID: 30, Roll Number: Roll number 4, Presence: absent
ID: 31, Roll Number: 1, Presence: absent
ID: 32, Roll Number: 2, Presence: absent
ID: 33, Roll Number: 1, Presence: absent
ID: 34, Roll Number: 2, Presence: absent
ID: 35, Roll Number: 3, Presence: absent
ID: 36, Roll Number: 1, Presence: absent
ID: 37, Roll Number: 2, Presence: absent
ID: 38, Roll Number: 3, Presence: absent
ID: 39, Roll Number: 4, Presence: absent
ID: 40, Roll Number: Roll number 1, Presence: absent
ID: 41, Roll Number: Roll number 2, Presence: absent
ID: 42, Roll Number: Roll number 3, Presence: absent
ID: 43, Roll Number: Roll number 4, Presence: absent
ID: 44, Roll Number: Roll number 1, Presence: absent
ID: 45, Roll Number: Roll number 2, Presence: absent
ID: 46, Roll Number: Roll number 3, Presence: absent
ID: 47, Roll Number: Roll number 4, Presence: absent
ID: 48, Roll Number: Roll number 1, Presence: absent
ID: 49, Roll Number: Roll number 1, Presence: absent
ID: 50, Roll Number: Roll number 1, Presence: absent
ID: 51, Roll Number: Roll number 1, Presence: absent
ID: 52, Roll Number: Roll number 2, Presence: absent
ID: 53, Roll Number: Roll number 1, Presence: absent
ID: 54, Roll Number: Roll number 1, Presence: absent
ID: 55, Roll Number: Roll number 2, Presence: absent
ID: 56, Roll Number: Roll number 3, Presence: absent
ID: 57, Roll Number: Roll number 4, Presence: absent
ID: 58, Roll Number: Roll number 5, Presence: absent
ID: 59, Roll Number: Roll number 1, Presence: absent
ID: 60, Roll Number: Roll number 2, Presence: absent
ID: 61, Roll Number: Roll number 3, Presence: absent
ID: 62, Roll Number: Roll number 1, Presence: absent
ID: 63, Roll Number: Roll number 2, Presence: absent
ID: 64, Roll Number: Roll number 3, Presence: absent
ID: 65, Roll Number: Roll number 4, Presence: absent
ID: 66, Roll Number: Roll number 5, Presence: absent
ID: 67, Roll Number: Roll number 1, Presence: absent
ID: 68, Roll Number: Roll number 2, Presence: absent
ID: 69, Roll Number: Roll number 1, Presence: absent
ID: 70, Roll Number: Roll number 1, Presence: absent
ID: 71, Roll Number: Roll number 2, Presence: absent
ID: 72, Roll Number: Roll number 3, Presence: absent
ID: 73, Roll Number: Roll number 4, Presence: absent
ID: 74, Roll Number: Roll number 5, Presence: absent
ID: 75, Roll Number: Roll number 1, Presence: absent
ID: 76, Roll Number: Roll number 2, Presence: absent
ID: 77, Roll Number: Roll number 1, Presence: absent
ID: 78, Roll Number: Roll number 2, Presence: absent
ID: 79, Roll Number: Roll number 3, Presence: absent
ID: 80, Roll Number: Roll number 1, Presence: absent
ID: 81, Roll Number: Roll number 2, Presence: absent
ID: 82, Roll Number: Roll number 1, Presence: absent
ID: 83, Roll Number: Roll number 2, Presence: present
ID: 84, Roll Number: Roll number 3, Presence: absent
ID: 85, Roll Number: Roll number 1, Presence: absent
ID: 86, Roll Number: Roll number 2, Presence: absent
ID: 87, Roll Number: Roll number 3, Presence: present
ID: 88, Roll Number: Roll number 1, Presence: present
ID: 89, Roll Number: Roll number 2, Presence: absent
ID: 90, Roll Number: Roll number 3, Presence: absent
ID: 91, Roll Number: Roll number 1, Presence: absent
ID: 92, Roll Number: Roll number 2, Presence: present
ID: 93, Roll Number: Roll number 3, Presence: absent
ID: 94, Roll Number: Roll number 1, Presence: present
ID: 95, Roll Number: Roll number 2, Presence: absent
ID: 96, Roll Number: Roll number 3, Presence: present
ID: 97, Roll Number: Roll number 1, Presence: present
ID: 98, Roll Number: Roll number 1, Presence: present
ID: 99, Roll Number: Roll number 2, Presence: absent
ID: 100, Roll Number: Roll number 3, Presence: present
